t,relL2
128,0.09441024570768614
129,0.09589340788944396
130,0.09708650832876473
131,0.09883270933631602
132,0.10284195882857836
133,0.10274975441800398
134,0.10363769255166391
135,0.10456613722892656
136,0.10392518431565441
137,0.09906468903278295
138,0.10454532188337695
139,0.10012439888775615
140,0.10228421714900786
141,0.10145906234024737
142,0.10210246572498231
143,0.10156925551299492
144,0.101567547151638
145,0.10321878694092486
146,0.10149026311433354
147,0.10261019032787129
148,0.0983043583947351
149,0.1004018170903064
150,0.09885578547183607
151,0.09722322406385034
152,0.09948107190279226
153,0.09732471014506802
154,0.10013730427671912
155,0.09880005425550961
156,0.09918118568577097
157,0.10060480910952592
158,0.10087292688437506
159,0.10156433756343586
160,0.10198517477626157
161,0.10285379819323277
162,0.10094330837967239
163,0.10459254023252514
164,0.10423508110656825
165,0.10642418278387081
166,0.10975087977767446
167,0.10670338699115964
168,0.10869877350962306
169,0.107595354070669
170,0.1119277092383592
171,0.1097611086150851
172,0.11518634890372188
173,0.11297731585323334
174,0.11535823212348435
175,0.11484065145577305
176,0.1152369412350726
177,0.11521854293552436
178,0.1180108487684977
179,0.11916754492358494
180,0.11859720293036602
181,0.12213172358072319
182,0.1224823327357069
183,0.12405007699301529
184,0.1238037389866418
185,0.12622789414927657
186,0.12538153491685305
187,0.12562080327794783
188,0.12696792150031072
189,0.12684865724200137
190,0.12801117385675523
191,0.12834285220498762
192,0.12977729118689826
193,0.13092220987156028
194,0.12682625740049427
195,0.12770182656363413
196,0.12788199575696405
197,0.12682495020684154
198,0.12666526583876375
199,0.12524307189297862
200,0.12590087987919987
201,0.12601433050620128
202,0.124880333436141
203,0.1256090528056646
204,0.12584697803610956
205,0.1259652907684205
206,0.12927019693848832
207,0.1277857552753794
208,0.13254966197687595
209,0.1300283813287062
210,0.13589096491679994
211,0.1351378492991188
212,0.13884270218493638
213,0.13792426903903748
214,0.13991680267252588
215,0.14062745368116888
216,0.13806852673630426
217,0.1429302430125232
218,0.14341165331766714
219,0.14561278188601928
220,0.14508312620843508
221,0.14412382429060264
222,0.14660778174200342
223,0.14631857357421765
224,0.14792684475272458
225,0.1477303152954352
226,0.15089109386107818
227,0.1508720919599958
228,0.15183128965577097
229,0.15492133208510825
230,0.15486104149996752
231,0.15879996239808283
232,0.15773764861193068
233,0.16232070497819828
234,0.16316758122574634
235,0.16440987525200706
236,0.16611917895193065
237,0.1674202625075139
238,0.16708368077232083
239,0.16662099473127778
240,0.16765766189464817
241,0.16734550755091138
242,0.166267711438664
243,0.16611519397050364
244,0.1681020750200451
245,0.16547774251166514
246,0.1656288905044526
247,0.16064576996878466
248,0.15873991899745124
249,0.1577894288545745
250,0.1576185491841523
251,0.15741555013744318
252,0.1598320630045552
253,0.1594272708704189
254,0.16299543095122776
255,0.16289884332469162
256,0.16763158626446487
257,0.16952720272297883
258,0.17237717228486596
259,0.1724181352135422
260,0.17547429556371527
261,0.1759918047842231
262,0.17957653633723525
263,0.1812018323262964
264,0.18234829099236322
265,0.1826606586907148
266,0.1820239851386798
267,0.1823434931316315
268,0.1809065102266813
269,0.18152584525184934
270,0.17982341346185027
271,0.17948421028273953
272,0.18006343022008048
273,0.18195537610164242
274,0.18249756327571903
275,0.18384857654843095
276,0.18591534572106422
277,0.18712501150538846
278,0.1882112619456233
279,0.19003036607545018
280,0.1917665347461623
281,0.1921400819782922
282,0.19493953383827753
283,0.1970326029317769
284,0.20003874142829542
285,0.1994870655779047
286,0.202483297278717
287,0.20174692725321908
288,0.20506918010652378
289,0.203186705334866
290,0.2020923680914506
291,0.20081592667909884
292,0.2007549290520448
293,0.19899225200658885
294,0.19686413256805885
295,0.19437942029358518
296,0.1929652202937377
297,0.1926951095903046
298,0.19244164168258196
299,0.1908948818427446
300,0.19294915831116496
301,0.19183004421324829
302,0.19257695215672122
303,0.19250444774335154
304,0.19371554575979572
305,0.19442484534996024
306,0.19685667577034952
307,0.19754074271420094
308,0.20229234129829007
309,0.20404429978271477
310,0.20738079799983372
311,0.20710193656365478
312,0.20949947028402086
313,0.20961092394413453
314,0.2106319194549608
315,0.21119738093730372
316,0.21237989240395955
317,0.21281104711661988
318,0.21052951208087048
319,0.21030861777346915
320,0.2095235805202149
321,0.21075456351170713
322,0.2116846168958874
323,0.21302940506063056
324,0.21394556829468572
325,0.21362923866254963
326,0.21582867488599566
327,0.21733069000042254
328,0.2234545395266569
329,0.22392149162123048
330,0.2269127672101098
331,0.229380287399903
332,0.23218200936217107
333,0.233323478757612
334,0.2359818633855378
335,0.23784787997708032
336,0.23811059164654386
337,0.23785452467605417
338,0.23928266393546718
339,0.23661045546008186
340,0.23672501236485094
341,0.23584507804476887
342,0.23398316246324985
343,0.23324143654843602
344,0.22906386069033352
345,0.2297876618541573
346,0.22728116163353293
347,0.22617528425317285
348,0.22415499593777827
349,0.2242459733761047
350,0.22245886175489002
351,0.22339514867246663
352,0.22461329793443344
353,0.22563542132045286
354,0.22587159302579268
355,0.22734198674389433
356,0.2298145093818694
357,0.2337388960206181
358,0.23506771695472817
359,0.23723864368679334
360,0.24035627904650422
361,0.2416923362039649
362,0.2433219418258091
363,0.24610008596206234
364,0.24551996259495099
365,0.24667813909274056
366,0.24710903560297787
367,0.24596593340643452
368,0.24507172989421472
369,0.246441551565094
370,0.24667760617097848
371,0.24745624041297493
372,0.2465229917892214
373,0.24865498458825522
374,0.24950994646658003
375,0.2503150583601767
376,0.25123140886846934
377,0.2523311396947826
378,0.2544519347484774
379,0.2556873410227508
380,0.25918112455404774
381,0.2610049202513888
382,0.2636515045627475
383,0.26677934957515775
384,0.268283517199417
385,0.2703599957696703
386,0.2700621532216489
387,0.270338086872412
388,0.2715181986074587
389,0.2716370589695328
390,0.27111344991189956
391,0.26935434803373687
392,0.2672290081743089
393,0.2663458350051074
394,0.2651787018378264
395,0.2621173348984441
396,0.2618197580703066
397,0.2593239470088245
398,0.25863094823122845
399,0.25925182012447934
400,0.25601494243570344
401,0.2585370884225149
402,0.259368714134671
403,0.26162553382370046
404,0.262389907541689
405,0.26577096879873424
406,0.26687110391483376
407,0.26998212301876273
408,0.27251502607745415
409,0.2741516374925025
410,0.2766390771373554
411,0.27950324846335267
412,0.281182235445198
413,0.28268209638329045
414,0.282012132688658
415,0.2840725614370304
416,0.2839042974132687
417,0.28361980685973365
418,0.28343482886578075
419,0.28351267254807305
420,0.2834801566092516
421,0.2840845952471606
422,0.2837004158777342
423,0.2828450952056253
424,0.28462754659216943
425,0.28467401858032393
426,0.2870316595652007
427,0.2880182330611202
428,0.29018977343459856
429,0.29244913379530624
430,0.29539671480615304
431,0.297345790535431
432,0.3003951543589391
433,0.3024128405503298
434,0.3043760147823125
435,0.304620308360253
436,0.3062167292185486
437,0.3044956445008447
438,0.3044138621717358
439,0.3030718010497443
440,0.30206320918022045
441,0.3010060993292547
442,0.2988706936387101
443,0.2961982274212398
444,0.2932736233126626
445,0.29278133082498703
446,0.2905902070128707
447,0.2904541329858068
448,0.28905811251862057
449,0.28966657234494975
450,0.2889205958627531
451,0.28755927066957887
452,0.29015717621971004
453,0.29007867633972867
454,0.2915535129165786
455,0.29455619123284343
456,0.29680265924549826
457,0.2992964130194399
458,0.301674249742271
459,0.30487120450306415
460,0.30745694333796103
461,0.30936956567305474
462,0.3102356568122517
463,0.3121724039267141
464,0.3116870901191068
465,0.31104069213511215
466,0.31253816566036874
467,0.31063177527098673
468,0.3128565852959686
469,0.31203997517375476
470,0.3134471492022861
471,0.31108470673696864
472,0.31076434627603033
473,0.31177031232603325
474,0.3123455536853229
475,0.31365402127211145
476,0.31396140417670215
477,0.31702910038878873
478,0.3177113934777392
479,0.3203997641212587
480,0.32290166326651504
481,0.32425517462127784
482,0.32624914106900915
483,0.3287658577079333
484,0.33000239873305326
485,0.33141374550931424
486,0.332381901388604
487,0.3339689365164872
488,0.3337551230671393
489,0.3318575211666738
490,0.3310644229744466
491,0.33056981762109655
492,0.3283871698051887
493,0.3260324233850602
494,0.3232705542175282
495,0.32142181817759824
496,0.3185393694760905
497,0.31823388991418217
498,0.3165841767949253
499,0.31605464675714695
