t,predContinuityMSE
300,0.0006909421645104885
301,0.00423603318631649
302,0.003595019457861781
303,0.0026456802152097225
304,0.002159025752916932
305,0.0028886368963867426
306,0.005216597113758326
307,0.002568713389337063
308,0.003589825937524438
309,0.011788696981966496
310,0.004326262045651674
311,0.003625366371124983
312,0.0070466105826199055
313,0.004076003562659025
314,0.00346065079793334
315,0.0012029333738610148
316,0.001540223602205515
317,0.006537249311804771
318,0.012579766102135181
319,0.00745368842035532
320,0.00457596592605114
321,0.0030094138346612453
322,0.001860487856902182
323,0.001695777871645987
324,0.0003831165668088943
325,0.006781622301787138
326,0.004322859458625317
327,0.0005650782259181142
328,0.0020892000757157803
329,0.0006725125131197274
330,0.0013646261068060994
331,0.0004284382739569992
332,0.0019947243854403496
333,0.00039373169420287013
334,0.0047828201204538345
335,0.002222642069682479
336,0.0058106775395572186
337,0.003186230082064867
338,0.003454983700066805
339,0.009385108947753906
340,0.002790874568745494
341,0.0007827003137208521
342,0.0007122055976651609
343,0.0027495045214891434
344,0.008604413829743862
345,0.006568757817149162
346,0.0008786462130956352
347,0.0019471673294901848
348,0.0033846385776996613
349,0.0017386936815455556
350,0.0018323853146284819
351,0.001683863578364253
352,0.001238696277141571
353,0.0028328208718448877
354,0.0038523871917277575
355,0.0025697334203869104
356,0.0025197339709848166
357,0.0038945688866078854
358,0.003056372981518507
359,0.0067758578807115555
360,0.009780222550034523
361,0.00562961446121335
362,0.0037067492958158255
363,0.0021397829987108707
364,0.001187692629173398
365,0.001817819313146174
366,0.0012282633688300848
367,0.00716687086969614
368,0.001978487242013216
369,0.0009366776212118566
370,0.0007633122149854898
371,0.0009781824192032218
372,0.002407197607681155
373,0.00032142744748853147
374,0.003576799528673291
375,0.0010656510712578893
376,0.006020688451826572
377,0.0012039748253300786
378,0.00057988241314888
379,0.0009101442410610616
380,0.0002293056750204414
381,0.0011661043390631676
382,0.0015842781867831945
383,0.005676322150975466
384,0.0032487388234585524
385,0.003687209216877818
386,0.008163101971149445
387,0.003991545177996159
388,0.003861888311803341
389,0.005743056535720825
390,0.0033381120301783085
391,0.0049464283511042595
392,0.0025938451290130615
393,0.002925092587247491
394,0.0012774936622008681
395,0.0019631392788141966
396,0.0013008944224566221
397,0.0006451163208112121
398,0.00017445771663915366
399,0.0008700430626049638
400,0.002396079245954752
401,0.0033581142779439688
402,0.0003483581240288913
403,0.007193495985120535
404,0.00939150620251894
405,0.00045099094859324396
406,0.0013705473393201828
407,0.0018505576299503446
408,0.002133568050339818
409,0.0009048022329807281
410,0.0008843921823427081
411,0.0019461417105048895
412,0.009877167642116547
413,0.0035156821832060814
414,0.002718206262215972
415,0.00036921713035553694
416,0.0010364378103986382
417,0.0004109885194338858
418,0.004741203039884567
419,0.003001003758981824
420,0.009648394770920277
421,0.0059859175235033035
422,0.0013742134906351566
423,0.0033598800655454397
424,0.0009539397433400154
425,0.003839281853288412
426,0.0013975321780890226
427,0.0025150750298053026
428,0.0013299320125952363
429,0.0015805441653355956
430,0.0009041598532348871
431,0.003786398796364665
432,0.000695131893735379
433,0.00026074316701851785
434,0.0005574655369855464
435,0.0022525324020534754
436,0.0021350616589188576
437,0.0034176602493971586
438,0.01084828656166792
439,0.0044273873791098595
440,0.0016721596475690603
441,0.004118819255381823
442,0.0031656080391258
443,0.0019365795888006687
444,0.0007525922264903784
445,0.0008737772586755455
446,0.004602621775120497
447,0.0025495963636785746
448,0.004380987025797367
449,0.001752008916810155
450,0.004195327404886484
451,0.004379179794341326
452,0.007012705784291029
453,0.00228261505253613
454,0.007311745546758175
455,0.003709683893248439
456,0.0022506441455334425
457,0.0009007675107568502
458,0.005261058919131756
459,0.0012465540785342455
460,0.0038909867871552706
461,0.0023091379553079605
462,0.0010154626797884703
463,0.003940192051231861
464,0.0016186180291697383
465,0.0016874577850103378
466,0.0014738108729943633
467,0.00145699770655483
468,0.004379950929433107
469,0.003053937805816531
470,0.0016330345533788204
471,0.005328254774212837
472,0.0028343209996819496
473,0.0009560277103446424
474,0.006330141332000494
475,0.0029331818222999573
476,0.005643516778945923
477,0.004164702259004116
478,0.002328886417672038
479,0.0030942922458052635
480,0.005050857551395893
481,0.005683538969606161
482,0.00764232873916626
483,0.003715410828590393
484,0.00022597782663069665
485,0.002236563479527831
486,0.001623240183107555
487,0.00035324800410307944
488,0.0003888983919750899
489,0.0006808520411141217
490,0.003313598921522498
491,0.0038347721565514803
492,0.0011329457629472017
493,0.0036548494827002287
494,0.005389141850173473
495,0.002605268731713295
496,0.0021852697245776653
497,0.0008933995268307626
498,0.002307845978066325
